127.0.0.1 - - [17/Jun/2020:10:14:48 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:14:49 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:14:49 +0900] "GET /test/mypageTop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:14:49 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:14:55 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:14:56 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:15:25 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:16:00 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:21:21 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:21:29 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:28:48 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:34:55 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:34:55 +0900] "GET /test/mypage.css HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:35:16 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:36:22 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:48:50 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:49:21 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:50:09 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:50:22 +0900] "GET /test/MypageServlet?btn=like HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:50:24 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:51:05 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:51:08 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:59:03 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:15:59:05 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:00:32 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:07:54 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:07:54 +0900] "GET /test/mypage.css HTTP/1.1" 200 860
